season,date,match_name,result,h_odd,d_odd,a_odd
2019/2020,02 Nov 2019,Bournemouth - Manchester Utd,1:0,3.66,3.58,2.08
2019/2020,27 Oct 2019,Arsenal - Crystal Palace,2:2,1.48,4.70,6.66
2019/2020,27 Oct 2019,Liverpool - Tottenham,2:1,1.48,4.82,6.58
2019/2020,27 Oct 2019,Norwich - Manchester Utd,1:3,4.64,3.75,1.80
2019/2020,27 Oct 2019,Newcastle - Wolves,1:1,3.40,3.10,2.40
2019/2020,26 Oct 2019,Burnley - Chelsea,2:4,5.10,4.06,1.69
2019/2020,26 Oct 2019,Brighton - Everton,3:2,2.67,3.33,2.77
2019/2020,26 Oct 2019,Watford - Bournemouth,0:0,2.29,3.57,3.14
2019/2020,26 Oct 2019,West Ham - Sheffield Utd,1:1,2.26,3.42,3.31
2019/2020,26 Oct 2019,Manchester City - Aston Villa,3:0,1.08,14.30,27.98
2019/2020,25 Oct 2019,Southampton - Leicester,0:9,3.16,3.38,2.38
2019/2020,21 Oct 2019,Sheffield Utd - Arsenal,1:0,3.74,3.59,2.05
2019/2020,20 Oct 2019,Manchester Utd - Liverpool,1:1,4.13,3.52,1.97
2019/2020,19 Oct 2019,Crystal Palace - Manchester City,0:2,12.10,7.37,1.22
2019/2020,19 Oct 2019,Aston Villa - Brighton,2:1,2.38,3.48,3.06
2019/2020,19 Oct 2019,Bournemouth - Norwich,0:0,1.75,4.26,4.38
2019/2020,19 Oct 2019,Chelsea - Newcastle,1:0,1.28,6.08,11.23
2019/2020,19 Oct 2019,Leicester - Burnley,2:1,1.49,4.43,7.11
2019/2020,19 Oct 2019,Tottenham - Watford,1:1,1.50,4.50,6.75
2019/2020,19 Oct 2019,Wolves - Southampton,1:1,2.06,3.27,4.08
2019/2020,19 Oct 2019,Everton - West Ham,2:0,1.79,4.05,4.34
2019/2020,06 Oct 2019,Newcastle - Manchester Utd,1:0,3.96,3.32,2.08
2019/2020,06 Oct 2019,Arsenal - Bournemouth,1:0,1.36,5.77,7.71
2019/2020,06 Oct 2019,Manchester City - Wolves,0:2,1.14,9.07,21.00
2019/2020,06 Oct 2019,Southampton - Chelsea,1:4,4.71,4.26,1.70
2019/2020,05 Oct 2019,West Ham - Crystal Palace,1:2,2.00,3.68,3.80
2019/2020,05 Oct 2019,Burnley - Everton,1:0,3.21,3.26,2.41
2019/2020,05 Oct 2019,Liverpool - Leicester,2:1,1.59,4.35,5.73
2019/2020,05 Oct 2019,Norwich - Aston Villa,1:5,2.44,3.63,2.87
2019/2020,05 Oct 2019,Watford - Sheffield Utd,0:0,2.38,3.27,3.25
2019/2020,05 Oct 2019,Brighton - Tottenham,3:0,5.11,3.93,1.71
2019/2020,30 Sep 2019,Manchester Utd - Arsenal,1:1,2.25,3.58,3.23
2019/2020,29 Sep 2019,Leicester - Newcastle,5:0,1.52,4.19,7.09
2019/2020,28 Sep 2019,Everton - Manchester City,1:3,8.92,5.62,1.34
2019/2020,28 Sep 2019,Aston Villa - Burnley,2:2,2.32,3.41,3.21
2019/2020,28 Sep 2019,Bournemouth - West Ham,2:2,2.40,3.63,2.90
2019/2020,28 Sep 2019,Chelsea - Brighton,2:0,1.43,4.73,7.87
2019/2020,28 Sep 2019,Crystal Palace - Norwich,2:0,1.92,3.81,3.93
2019/2020,28 Sep 2019,Tottenham - Southampton,2:1,1.38,5.15,8.38
2019/2020,28 Sep 2019,Wolves - Watford,2:0,1.94,3.46,4.32
2019/2020,28 Sep 2019,Sheffield Utd - Liverpool,0:1,9.15,5.33,1.35
2019/2020,22 Sep 2019,Arsenal - Aston Villa,3:2,1.42,5.16,7.38
2019/2020,22 Sep 2019,Chelsea - Liverpool,1:2,3.27,3.72,2.17
2019/2020,22 Sep 2019,Crystal Palace - Wolves,1:1,2.78,3.12,2.83
2019/2020,22 Sep 2019,West Ham - Manchester Utd,2:0,3.09,3.50,2.35
2019/2020,21 Sep 2019,Newcastle - Brighton,0:0,2.40,3.22,3.25
2019/2020,21 Sep 2019,Burnley - Norwich,2:0,2.02,3.78,3.62
2019/2020,21 Sep 2019,Everton - Sheffield Utd,0:2,1.77,3.58,5.28
2019/2020,21 Sep 2019,Manchester City - Watford,8:0,1.10,11.16,24.45
2019/2020,21 Sep 2019,Leicester - Tottenham,2:1,2.75,3.46,2.63
2019/2020,20 Sep 2019,Southampton - Bournemouth,1:3,2.18,3.58,3.38
2019/2020,16 Sep 2019,Aston Villa - West Ham,0:0,2.74,3.63,2.54
2019/2020,15 Sep 2019,Watford - Arsenal,2:2,4.14,3.90,1.87
2019/2020,15 Sep 2019,Bournemouth - Everton,3:1,3.38,3.53,2.20
2019/2020,14 Sep 2019,Norwich - Manchester City,3:2,26.08,12.30,1.09
2019/2020,14 Sep 2019,Brighton - Burnley,1:1,2.13,3.41,3.67
2019/2020,14 Sep 2019,Manchester Utd - Leicester,1:0,2.14,3.34,3.72
2019/2020,14 Sep 2019,Sheffield Utd - Southampton,0:1,2.49,3.28,3.05
2019/2020,14 Sep 2019,Tottenham - Crystal Palace,4:0,1.41,4.99,7.84
2019/2020,14 Sep 2019,Wolves - Chelsea,2:5,3.07,3.41,2.41
2019/2020,14 Sep 2019,Liverpool - Newcastle,3:1,1.20,7.46,14.67
2019/2020,01 Sep 2019,Arsenal - Tottenham,2:2,2.58,3.66,2.69
2019/2020,01 Sep 2019,Everton - Wolves,3:2,2.06,3.28,4.08
2019/2020,31 Aug 2019,Burnley - Liverpool,0:3,9.04,5.43,1.35
2019/2020,31 Aug 2019,Chelsea - Sheffield Utd,2:2,1.41,4.78,8.49
2019/2020,31 Aug 2019,Crystal Palace - Aston Villa,1:0,2.27,3.40,3.33
2019/2020,31 Aug 2019,Leicester - Bournemouth,3:1,1.66,4.06,5.28
2019/2020,31 Aug 2019,Manchester City - Brighton,4:0,1.09,11.73,31.36
2019/2020,31 Aug 2019,Newcastle - Watford,1:1,2.53,3.21,3.05
2019/2020,31 Aug 2019,West Ham - Norwich,2:0,1.90,4.02,3.87
2019/2020,31 Aug 2019,Southampton - Manchester Utd,1:1,4.12,3.54,1.97
2019/2020,25 Aug 2019,Tottenham - Newcastle,0:1,1.28,6.10,11.12
2019/2020,25 Aug 2019,Wolves - Burnley,1:1,1.79,3.47,5.34
2019/2020,25 Aug 2019,Bournemouth - Manchester City,1:3,16.72,8.51,1.17
2019/2020,24 Aug 2019,Liverpool - Arsenal,3:1,1.47,5.00,6.45
2019/2020,24 Aug 2019,Brighton - Southampton,0:2,2.34,3.30,3.29
2019/2020,24 Aug 2019,Manchester Utd - Crystal Palace,1:2,1.35,5.33,9.30
2019/2020,24 Aug 2019,Sheffield Utd - Leicester,1:2,3.29,3.30,2.35
2019/2020,24 Aug 2019,Watford - West Ham,1:3,2.20,3.55,3.36
2019/2020,24 Aug 2019,Norwich - Chelsea,2:3,4.26,3.88,1.84
2019/2020,23 Aug 2019,Aston Villa - Everton,2:0,3.08,3.42,2.40
2019/2020,19 Aug 2019,Wolves - Manchester Utd,1:1,3.02,3.31,2.49
2019/2020,18 Aug 2019,Chelsea - Leicester,1:1,1.73,3.83,5.16
2019/2020,18 Aug 2019,Sheffield Utd - Crystal Palace,1:0,2.52,3.26,3.02
2019/2020,17 Aug 2019,Manchester City - Tottenham,2:2,1.37,5.50,8.12
2019/2020,17 Aug 2019,Aston Villa - Bournemouth,1:2,2.27,3.63,3.13
2019/2020,17 Aug 2019,Brighton - West Ham,1:1,2.21,3.45,3.41
2019/2020,17 Aug 2019,Everton - Watford,1:0,1.83,3.71,4.57
2019/2020,17 Aug 2019,Norwich - Newcastle,3:1,2.14,3.46,3.58
2019/2020,17 Aug 2019,Southampton - Liverpool,1:2,6.58,4.53,1.51
2019/2020,17 Aug 2019,Arsenal - Burnley,2:1,1.36,5.32,9.03
2019/2020,11 Aug 2019,Manchester Utd - Chelsea,4:0,2.04,3.41,4.10
2019/2020,11 Aug 2019,Leicester - Wolves,0:0,2.41,3.17,3.34
2019/2020,11 Aug 2019,Newcastle - Arsenal,0:1,3.42,3.53,2.20
2019/2020,10 Aug 2019,Tottenham - Aston Villa,3:1,1.36,5.37,8.83
2019/2020,10 Aug 2019,Bournemouth - Sheffield Utd,1:1,1.98,3.62,4.01
2019/2020,10 Aug 2019,Burnley - Southampton,3:0,2.68,3.20,2.88
2019/2020,10 Aug 2019,Crystal Palace - Everton,0:0,3.41,3.39,2.26
2019/2020,10 Aug 2019,Watford - Brighton,0:3,2.08,3.29,4.09
2019/2020,10 Aug 2019,West Ham - Manchester City,0:5,11.30,6.58,1.26
2019/2020,09 Aug 2019,Liverpool - Norwich,4:1,1.14,9.88,19.63
2018/2019,12 May 2019,Brighton - Manchester City,1:4,15.07,7.80,1.19
2018/2019,12 May 2019,Burnley - Arsenal,1:3,2.54,3.65,2.75
2018/2019,12 May 2019,Crystal Palace - Bournemouth,5:3,1.77,4.34,4.22
2018/2019,12 May 2019,Fulham - Newcastle,0:4,2.45,3.56,2.92
2018/2019,12 May 2019,Leicester - Chelsea,0:0,2.41,3.65,2.92
2018/2019,12 May 2019,Liverpool - Wolves,2:0,1.31,5.85,10.17
2018/2019,12 May 2019,Manchester Utd - Cardiff,0:2,1.31,6.09,9.81
2018/2019,12 May 2019,Southampton - Huddersfield,1:1,1.39,5.12,8.42
2018/2019,12 May 2019,Tottenham - Everton,2:2,1.90,3.75,4.17
2018/2019,12 May 2019,Watford - West Ham,1:4,2.10,3.81,3.42
2018/2019,06 May 2019,Manchester City - Leicester,1:0,1.17,8.99,15.16
2018/2019,05 May 2019,Arsenal - Brighton,1:1,1.28,6.00,11.94
2018/2019,05 May 2019,Chelsea - Watford,3:0,1.30,5.92,10.61
2018/2019,05 May 2019,Huddersfield - Manchester Utd,1:1,9.68,5.67,1.33
2018/2019,04 May 2019,Newcastle - Liverpool,2:3,9.41,5.48,1.34
2018/2019,04 May 2019,Cardiff - Crystal Palace,2:3,2.56,3.73,2.69
2018/2019,04 May 2019,West Ham - Southampton,3:0,2.33,3.62,3.06
2018/2019,04 May 2019,Wolves - Fulham,1:0,1.49,4.38,7.42
2018/2019,04 May 2019,Bournemouth - Tottenham,1:0,5.84,4.60,1.55
2018/2019,03 May 2019,Everton - Burnley,2:0,1.66,3.90,5.71
2018/2019,28 Apr 2019,Manchester Utd - Chelsea,1:1,2.69,3.35,2.76
2018/2019,28 Apr 2019,Burnley - Manchester City,0:1,17.57,9.04,1.16
2018/2019,28 Apr 2019,Leicester - Arsenal,3:0,2.67,3.62,2.63
2018/2019,27 Apr 2019,Brighton - Newcastle,1:1,2.21,3.28,3.65
2018/2019,27 Apr 2019,Crystal Palace - Everton,0:0,2.99,3.45,2.45
2018/2019,27 Apr 2019,Fulham - Cardiff,1:0,2.21,3.64,3.28
2018/2019,27 Apr 2019,Southampton - Bournemouth,3:3,1.80,3.94,4.51
2018/2019,27 Apr 2019,Watford - Wolves,1:2,2.68,3.23,2.86
2018/2019,27 Apr 2019,Tottenham - West Ham,0:1,1.36,5.46,8.86
2018/2019,26 Apr 2019,Liverpool - Huddersfield,5:0,1.07,15.61,34.30
2018/2019,24 Apr 2019,Manchester Utd - Manchester City,0:2,6.48,4.70,1.50
2018/2019,24 Apr 2019,Wolves - Arsenal,3:1,2.72,3.40,2.70
2018/2019,23 Apr 2019,Tottenham - Brighton,1:0,1.26,6.21,13.15
2018/2019,23 Apr 2019,Watford - Southampton,1:1,2.19,3.44,3.51
2018/2019,22 Apr 2019,Chelsea - Burnley,2:2,1.23,6.58,14.80
2018/2019,21 Apr 2019,Arsenal - Crystal Palace,2:3,1.51,4.66,6.42
2018/2019,21 Apr 2019,Cardiff - Liverpool,0:2,16.39,7.82,1.18
2018/2019,21 Apr 2019,Everton - Manchester Utd,4:0,3.25,3.52,2.27
2018/2019,20 Apr 2019,Newcastle - Southampton,3:1,2.45,3.06,3.39
2018/2019,20 Apr 2019,Bournemouth - Fulham,0:1,1.71,4.18,4.78
2018/2019,20 Apr 2019,Huddersfield - Watford,1:2,4.09,3.58,1.96
2018/2019,20 Apr 2019,West Ham - Leicester,2:2,3.25,3.56,2.25
2018/2019,20 Apr 2019,Wolves - Brighton,0:0,1.94,3.17,4.95
2018/2019,20 Apr 2019,Manchester City - Tottenham,1:0,1.27,6.39,11.04
2018/2019,16 Apr 2019,Brighton - Cardiff,0:2,2.00,3.26,4.43
2018/2019,15 Apr 2019,Watford - Arsenal,0:1,3.64,3.71,2.05
2018/2019,14 Apr 2019,Liverpool - Chelsea,2:0,1.73,3.81,5.27
2018/2019,14 Apr 2019,Crystal Palace - Manchester City,1:3,12.96,6.75,1.24
2018/2019,13 Apr 2019,Manchester Utd - West Ham,2:1,1.32,5.83,9.70
2018/2019,13 Apr 2019,Brighton - Bournemouth,0:5,2.30,3.27,3.42
2018/2019,13 Apr 2019,Burnley - Cardiff,2:0,1.85,3.57,4.70
2018/2019,13 Apr 2019,Fulham - Everton,2:0,4.91,4.19,1.69
2018/2019,13 Apr 2019,Southampton - Wolves,3:1,2.73,3.16,2.85
2018/2019,13 Apr 2019,Tottenham - Huddersfield,4:0,1.20,6.98,16.62
2018/2019,12 Apr 2019,Leicester - Newcastle,0:1,1.66,3.84,5.87
2018/2019,08 Apr 2019,Chelsea - West Ham,2:0,1.24,6.72,13.09
2018/2019,07 Apr 2019,Everton - Arsenal,1:0,2.87,3.53,2.51
2018/2019,06 Apr 2019,Bournemouth - Burnley,1:3,2.06,3.53,3.78
2018/2019,06 Apr 2019,Huddersfield - Leicester,1:4,5.45,4.05,1.66
2018/2019,06 Apr 2019,Newcastle - Crystal Palace,0:1,2.71,3.14,2.90
2018/2019,05 Apr 2019,Southampton - Liverpool,1:3,8.79,5.21,1.37
2018/2019,03 Apr 2019,Chelsea - Brighton,3:0,1.29,5.60,12.67
2018/2019,03 Apr 2019,Manchester City - Cardiff,2:0,1.07,15.09,32.49
2018/2019,03 Apr 2019,Tottenham - Crystal Palace,2:0,1.47,4.57,7.51
2018/2019,02 Apr 2019,Watford - Fulham,4:1,1.72,3.86,5.17
2018/2019,02 Apr 2019,Wolves - Manchester Utd,2:1,3.27,3.20,2.42
2018/2019,01 Apr 2019,Arsenal - Newcastle,2:0,1.43,4.74,8.28
2018/2019,31 Mar 2019,Liverpool - Tottenham,2:1,1.57,4.38,5.99
2018/2019,31 Mar 2019,Cardiff - Chelsea,1:2,9.02,4.67,1.41
2018/2019,30 Mar 2019,West Ham - Everton,0:2,2.67,3.33,2.80
2018/2019,30 Mar 2019,Brighton - Southampton,0:1,2.53,3.12,3.17
2018/2019,30 Mar 2019,Burnley - Wolves,2:0,2.89,3.14,2.71
2018/2019,30 Mar 2019,Crystal Palace - Huddersfield,2:0,1.46,4.38,8.27
2018/2019,30 Mar 2019,Leicester - Bournemouth,2:0,1.80,3.89,4.53
2018/2019,30 Mar 2019,Manchester Utd - Watford,2:1,1.39,5.13,8.33
2018/2019,30 Mar 2019,Fulham - Manchester City,0:2,20.47,11.13,1.12
2018/2019,17 Mar 2019,Everton - Chelsea,2:0,4.57,3.71,1.84
2018/2019,17 Mar 2019,Fulham - Liverpool,1:2,12.82,7.85,1.21
2018/2019,16 Mar 2019,Bournemouth - Newcastle,2:2,2.13,3.52,3.59
2018/2019,16 Mar 2019,Burnley - Leicester,1:2,3.16,3.33,2.39
2018/2019,16 Mar 2019,West Ham - Huddersfield,4:3,1.54,4.24,6.78
2018/2019,10 Mar 2019,Arsenal - Manchester Utd,2:0,2.39,3.55,3.03
2018/2019,10 Mar 2019,Chelsea - Wolves,1:1,1.58,3.90,6.96
2018/2019,10 Mar 2019,Liverpool - Burnley,4:2,1.17,7.95,18.47
2018/2019,09 Mar 2019,Manchester City - Watford,3:1,1.12,10.66,23.55
2018/2019,09 Mar 2019,Cardiff - West Ham,2:0,3.02,3.43,2.45
2018/2019,09 Mar 2019,Huddersfield - Bournemouth,0:2,3.11,3.31,2.46
2018/2019,09 Mar 2019,Leicester - Fulham,3:1,1.59,4.35,5.86
2018/2019,09 Mar 2019,Newcastle - Everton,3:2,2.73,3.12,2.91
2018/2019,09 Mar 2019,Southampton - Tottenham,2:1,4.55,3.83,1.82
2018/2019,09 Mar 2019,Crystal Palace - Brighton,1:2,1.89,3.29,5.08
2018/2019,03 Mar 2019,Everton - Liverpool,0:0,6.39,4.03,1.59
2018/2019,03 Mar 2019,Fulham - Chelsea,1:2,8.43,4.80,1.42
2018/2019,03 Mar 2019,Watford - Leicester,2:1,2.75,3.30,2.74
2018/2019,02 Mar 2019,West Ham - Newcastle,2:0,2.18,3.35,3.64
2018/2019,02 Mar 2019,Bournemouth - Manchester City,0:1,14.65,8.41,1.18
2018/2019,02 Mar 2019,Brighton - Huddersfield,1:0,1.78,3.39,5.67
2018/2019,02 Mar 2019,Burnley - Crystal Palace,1:3,2.91,3.25,2.62
2018/2019,02 Mar 2019,Manchester Utd - Southampton,3:2,1.45,4.55,8.15
2018/2019,02 Mar 2019,Wolves - Cardiff,2:0,1.75,3.54,5.69
2018/2019,02 Mar 2019,Tottenham - Arsenal,1:1,2.00,3.56,3.98
2018/2019,27 Feb 2019,Chelsea - Tottenham,2:0,2.38,3.27,3.27
2018/2019,27 Feb 2019,Crystal Palace - Manchester Utd,1:3,3.36,3.28,2.33
2018/2019,27 Feb 2019,Liverpool - Watford,5:0,1.27,5.95,12.55
2018/2019,27 Feb 2019,Manchester City - West Ham,1:0,1.10,11.41,23.73
2018/2019,27 Feb 2019,Arsenal - Bournemouth,5:1,1.39,5.20,8.13
2018/2019,27 Feb 2019,Southampton - Fulham,2:0,1.99,3.44,4.17
2018/2019,26 Feb 2019,Newcastle - Burnley,2:0,2.16,3.23,3.84
2018/2019,26 Feb 2019,Cardiff - Everton,0:3,3.94,3.36,2.08
2018/2019,26 Feb 2019,Huddersfield - Wolves,1:0,5.56,3.59,1.74
2018/2019,26 Feb 2019,Leicester - Brighton,2:1,1.82,3.49,5.12
2018/2019,24 Feb 2019,Arsenal - Southampton,2:0,1.55,4.24,6.53
2018/2019,24 Feb 2019,Manchester Utd - Liverpool,0:0,3.49,3.46,2.19
2018/2019,23 Feb 2019,Leicester - Crystal Palace,1:4,2.26,3.35,3.43
2018/2019,23 Feb 2019,Bournemouth - Wolves,1:1,3.11,3.29,2.46
2018/2019,23 Feb 2019,Newcastle - Huddersfield,2:0,1.89,3.34,4.85
2018/2019,23 Feb 2019,Burnley - Tottenham,2:1,6.15,4.06,1.61
2018/2019,22 Feb 2019,Cardiff - Watford,1:5,3.17,3.30,2.43
2018/2019,22 Feb 2019,West Ham - Fulham,3:1,2.00,3.50,4.04
2018/2019,11 Feb 2019,Wolves - Newcastle,1:1,1.77,3.53,5.45
2018/2019,10 Feb 2019,Manchester City - Chelsea,6:0,1.56,4.31,6.29
2018/2019,10 Feb 2019,Tottenham - Leicester,3:1,1.71,3.72,5.55
2018/2019,09 Feb 2019,Brighton - Burnley,1:3,2.03,3.29,4.23
2018/2019,09 Feb 2019,Crystal Palace - West Ham,1:1,1.97,3.56,4.10
2018/2019,09 Feb 2019,Huddersfield - Arsenal,1:2,5.56,3.94,1.67
2018/2019,09 Feb 2019,Liverpool - Bournemouth,3:0,1.17,8.46,16.61
2018/2019,09 Feb 2019,Southampton - Cardiff,1:2,1.83,3.50,4.99
2018/2019,09 Feb 2019,Watford - Everton,1:0,2.53,3.33,2.98
2018/2019,09 Feb 2019,Fulham - Manchester Utd,0:3,5.09,4.04,1.71
2018/2019,06 Feb 2019,Everton - Manchester City,0:2,10.03,6.07,1.30
2018/2019,04 Feb 2019,West Ham - Liverpool,1:1,9.20,5.93,1.32
2018/2019,03 Feb 2019,Manchester City - Arsenal,3:1,1.25,7.02,10.43
2018/2019,03 Feb 2019,Leicester - Manchester Utd,0:1,3.82,3.60,2.03
2018/2019,02 Feb 2019,Cardiff - Bournemouth,2:0,3.34,3.46,2.26
2018/2019,02 Feb 2019,Brighton - Watford,0:0,2.45,3.23,3.17
2018/2019,02 Feb 2019,Burnley - Southampton,1:1,2.56,3.34,2.91
2018/2019,02 Feb 2019,Chelsea - Huddersfield,5:0,1.23,6.60,14.70
2018/2019,02 Feb 2019,Crystal Palace - Fulham,2:0,2.02,3.49,4.04
2018/2019,02 Feb 2019,Everton - Wolves,1:3,2.67,3.23,2.87
2018/2019,02 Feb 2019,Tottenham - Newcastle,1:0,1.43,4.44,9.10
2018/2019,30 Jan 2019,Liverpool - Leicester,1:1,1.24,6.61,12.44
2018/2019,30 Jan 2019,Tottenham - Watford,2:1,1.58,4.12,6.30
2018/2019,30 Jan 2019,Bournemouth - Chelsea,4:0,5.61,4.23,1.62
2018/2019,30 Jan 2019,Southampton - Crystal Palace,1:1,2.49,3.29,3.06
2018/2019,29 Jan 2019,Manchester Utd - Burnley,2:2,1.34,5.27,10.19
2018/2019,29 Jan 2019,Newcastle - Manchester City,2:1,17.22,8.08,1.17
2018/2019,29 Jan 2019,Arsenal - Cardiff,2:1,1.22,6.84,14.05
2018/2019,29 Jan 2019,Fulham - Brighton,4:2,2.46,3.22,3.18
2018/2019,29 Jan 2019,Huddersfield - Everton,0:1,3.67,3.18,2.23
2018/2019,29 Jan 2019,Wolves - West Ham,3:0,1.99,3.55,4.05
2018/2019,20 Jan 2019,Fulham - Tottenham,1:2,5.50,3.73,1.71
2018/2019,20 Jan 2019,Huddersfield - Manchester City,0:3,23.71,9.65,1.13
2018/2019,19 Jan 2019,Arsenal - Chelsea,2:0,3.27,3.47,2.28
2018/2019,19 Jan 2019,Bournemouth - West Ham,2:0,2.13,3.66,3.46
2018/2019,19 Jan 2019,Liverpool - Crystal Palace,4:3,1.22,7.03,13.91
2018/2019,19 Jan 2019,Manchester Utd - Brighton,2:1,1.36,5.12,9.62
2018/2019,19 Jan 2019,Newcastle - Cardiff,3:0,2.07,3.17,4.29
2018/2019,19 Jan 2019,Southampton - Everton,2:1,2.88,3.40,2.56
2018/2019,19 Jan 2019,Watford - Burnley,0:0,1.72,3.83,5.32
2018/2019,19 Jan 2019,Wolves - Leicester,4:3,2.32,3.17,3.49
2018/2019,14 Jan 2019,Manchester City - Wolves,3:0,1.19,7.37,17.15
2018/2019,13 Jan 2019,Tottenham - Manchester Utd,0:1,2.09,3.55,3.71
2018/2019,13 Jan 2019,Everton - Bournemouth,2:0,1.72,3.97,5.06
2018/2019,12 Jan 2019,Chelsea - Newcastle,2:1,1.21,6.74,17.52
2018/2019,12 Jan 2019,Brighton - Liverpool,0:1,10.49,5.19,1.34
2018/2019,12 Jan 2019,Burnley - Fulham,2:1,2.41,3.24,3.23
2018/2019,12 Jan 2019,Cardiff - Huddersfield,0:0,2.15,3.23,3.89
2018/2019,12 Jan 2019,Crystal Palace - Watford,1:2,2.35,3.33,3.28
2018/2019,12 Jan 2019,Leicester - Southampton,1:2,1.94,3.36,4.57
2018/2019,12 Jan 2019,West Ham - Arsenal,1:0,3.54,3.90,2.03
2018/2019,03 Jan 2019,Manchester City - Liverpool,2:1,1.98,3.83,3.81
2018/2019,02 Jan 2019,Newcastle - Manchester Utd,0:2,5.94,4.13,1.60
2018/2019,02 Jan 2019,Bournemouth - Watford,3:3,2.57,3.49,2.81
2018/2019,02 Jan 2019,Chelsea - Southampton,0:0,1.28,5.97,12.46
2018/2019,02 Jan 2019,Huddersfield - Burnley,1:2,2.44,3.06,3.39
2018/2019,02 Jan 2019,West Ham - Brighton,2:2,2.01,3.55,3.99
2018/2019,02 Jan 2019,Wolves - Crystal Palace,0:2,2.29,3.15,3.60
2018/2019,01 Jan 2019,Cardiff - Tottenham,0:3,8.82,4.88,1.40
2018/2019,01 Jan 2019,Arsenal - Fulham,4:1,1.38,5.40,8.33
2018/2019,01 Jan 2019,Everton - Leicester,0:1,2.01,3.53,4.03
2018/2019,30 Dec 2018,Manchester Utd - Bournemouth,4:1,1.38,5.35,8.60
2018/2019,30 Dec 2018,Burnley - West Ham,2:0,3.80,3.51,2.07
2018/2019,30 Dec 2018,Southampton - Manchester City,1:3,12.70,7.12,1.23
2018/2019,30 Dec 2018,Crystal Palace - Chelsea,0:1,5.01,3.80,1.76
2018/2019,29 Dec 2018,Liverpool - Arsenal,5:1,1.40,5.37,7.77
2018/2019,29 Dec 2018,Brighton - Everton,1:0,3.37,3.27,2.34
2018/2019,29 Dec 2018,Fulham - Huddersfield,1:0,2.04,3.27,4.25
2018/2019,29 Dec 2018,Leicester - Cardiff,0:1,1.57,3.86,7.37
2018/2019,29 Dec 2018,Tottenham - Wolves,1:3,1.46,4.40,8.21
2018/2019,29 Dec 2018,Watford - Newcastle,1:1,1.74,3.71,5.29
2018/2019,27 Dec 2018,Southampton - West Ham,1:2,2.29,3.38,3.38
2018/2019,26 Dec 2018,Watford - Chelsea,1:2,5.55,3.96,1.66
2018/2019,26 Dec 2018,Brighton - Arsenal,1:1,5.38,3.89,1.70
2018/2019,26 Dec 2018,Burnley - Everton,1:5,4.33,3.62,1.91
2018/2019,26 Dec 2018,Crystal Palace - Cardiff,0:0,1.65,3.72,6.44
2018/2019,26 Dec 2018,Leicester - Manchester City,2:1,9.56,5.64,1.33
2018/2019,26 Dec 2018,Liverpool - Newcastle,4:0,1.16,8.13,19.82
2018/2019,26 Dec 2018,Manchester Utd - Huddersfield,3:1,1.28,5.92,12.56
2018/2019,26 Dec 2018,Tottenham - Bournemouth,5:0,1.36,5.36,9.09
2018/2019,26 Dec 2018,Fulham - Wolves,1:1,2.99,3.13,2.66
2018/2019,23 Dec 2018,Everton - Tottenham,2:6,3.43,3.67,2.14
2018/2019,22 Dec 2018,Cardiff - Manchester Utd,1:5,6.67,4.23,1.55
2018/2019,22 Dec 2018,Bournemouth - Brighton,2:0,1.99,3.48,4.16
2018/2019,22 Dec 2018,Chelsea - Leicester,0:1,1.34,5.37,10.28
2018/2019,22 Dec 2018,Huddersfield - Southampton,1:3,2.87,3.06,2.81
2018/2019,22 Dec 2018,Manchester City - Crystal Palace,2:3,1.17,8.05,19.48
2018/2019,22 Dec 2018,Newcastle - Fulham,0:0,2.29,3.29,3.44
2018/2019,22 Dec 2018,West Ham - Watford,0:2,2.45,3.50,2.97
2018/2019,22 Dec 2018,Arsenal - Burnley,3:1,1.21,6.94,15.52
2018/2019,21 Dec 2018,Wolves - Liverpool,0:2,7.20,4.12,1.54
2018/2019,16 Dec 2018,Liverpool - Manchester Utd,3:1,1.54,4.24,6.83
2018/2019,16 Dec 2018,Brighton - Chelsea,1:2,8.51,4.47,1.44
2018/2019,16 Dec 2018,Southampton - Arsenal,3:2,4.40,3.93,1.81
2018/2019,15 Dec 2018,Fulham - West Ham,0:2,3.06,3.54,2.37
2018/2019,15 Dec 2018,Crystal Palace - Leicester,1:0,2.73,3.16,2.87
2018/2019,15 Dec 2018,Huddersfield - Newcastle,0:1,2.64,3.03,3.10
2018/2019,15 Dec 2018,Tottenham - Burnley,1:0,1.20,7.12,16.86
2018/2019,15 Dec 2018,Watford - Cardiff,3:2,1.69,3.81,5.63
2018/2019,15 Dec 2018,Wolves - Bournemouth,2:0,1.98,3.44,4.21
2018/2019,15 Dec 2018,Manchester City - Everton,3:1,1.23,7.02,12.96
2018/2019,10 Dec 2018,Everton - Watford,2:2,1.67,3.88,5.60
2018/2019,09 Dec 2018,Newcastle - Wolves,1:2,2.94,3.05,2.76
2018/2019,08 Dec 2018,Leicester - Tottenham,0:2,4.27,3.48,1.96
2018/2019,08 Dec 2018,Chelsea - Manchester City,2:0,3.52,3.51,2.17
2018/2019,08 Dec 2018,Arsenal - Huddersfield,1:0,1.30,5.72,11.82
2018/2019,08 Dec 2018,Burnley - Brighton,1:0,2.91,3.07,2.77
2018/2019,08 Dec 2018,Cardiff - Southampton,1:0,3.25,3.26,2.40
2018/2019,08 Dec 2018,Manchester Utd - Fulham,4:1,1.39,5.02,9.09
